what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1488632580622
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1488632580622
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1488632580623
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1488632580705
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1488632580706
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1488632580707
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1488632580744
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1488632580787
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1488632580852
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1488632580852
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1488632580853
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1488632580853
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1488632580888
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1488632580888
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1488632580961
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1488632580962
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1488632580962
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1488632581002
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1488632581027
os,sysinfo,,,"linux",1488632581036
arch,sysinfo,,,"x86_64",1488632581036
ws,sysinfo,,,"gtk",1488632581036
locale,sysinfo,,,"en_US",1488632581036
processors,sysinfo,,,"2",1488632581036
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1488632581036
java.runtime.version,sysinfo,,,"1.8.0_121-8u121-b13-0ubuntu1.16.04.2-b13",1488632581036
java.specification.name,sysinfo,,,"Java Platform API Specification",1488632581036
java.specification.vendor,sysinfo,,,"Oracle Corporation",1488632581036
java.specification.version,sysinfo,,,"1.8",1488632581036
java.vendor,sysinfo,,,"Oracle Corporation",1488632581036
java.version,sysinfo,,,"1.8.0_121",1488632581036
java.vm.info,sysinfo,,,"mixed mode",1488632581036
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1488632581036
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1488632581036
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1488632581036
