what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581348551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581369392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1488581371146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581373379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1488581379810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581381949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581395438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581396918
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581400508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1488581404435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581405198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581410130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581412286
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1488581412893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1488581414404
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581415455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581416004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581447072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1488581478841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581481047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581481824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581482316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581482701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1488581483111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581530463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581532163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581539596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581550466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581553718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581559682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581567387
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581605835
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581606926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581607271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581607628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581608934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581614950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581615271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581644330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581645810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581673230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1488581696363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581729534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581730723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581735865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581747482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581777199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1488581818705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581819577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1488581829929
