aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id
http://www.awin1.com/pclick.php?p=3808389851&a=295295&m=6901,"TV OLED 55'' LG 55EG910V   Barre de son incurvée LG LAS855M",3808389851,RSYS:9:4982646,http://s1.static69.com/hifi/images/produits/large/BUN46941.jpg,"55 pouces  139 cm   OLED Full HD   SMART TV WebOS 2.0   WiFi   Cinema Screen   3D   HDMI   Son Ultra Surround","TV et Lecteurs DVD / TV LED / TV LED de 50'' et plus",1450.00,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3808389851&a=295295&m=6901,fr,,EUR1450.00,16437
http://www.awin1.com/pclick.php?p=6591171769&a=295295&m=6901,"FUNBEE   Panier de Basket Ajustable   OFUN145",6591171769,MP-00005M25077124,//dam-static.rueducommerce.fr/medias/5d603968118a38348112eb24b3a3236a/p_150x150/u-22869525.jpg,"Panier de basket avec hauteur réglable de 1m30 à 1m78. Il est totalement sécurisé car tout en plastique. Ballon PVC 18 cm et pompe inclus. Dimension du produit : 40 x 30 x 178 cm.","Basketball / Matériel / Equipement du terrain",37.71,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=6591171769&a=295295&m=6901,fr,,EUR37.71,16437
http://www.awin1.com/pclick.php?p=3812283755&a=295295&m=6901,"Moniteur TV LED 22''  55cm    22MT41DF",3812283755,RSYS:9:4982895,http://s1.static69.com/hifi/images/produits/large/75df1942038d31288528b94b2fab754a.jpg,"TV LED 22&rsquo;&rsquo;   Dalle IPS  R&eacute;solution HDTV 1080p  1920x1080   HDMI, USB 2.0  Haut parleurs int&eacute;gr&eacute;s  2x5W   Lecture directe des fichiers audio/vid&eacute;o/photo via USB","TV et Lecteurs DVD / TV LED / TV LED 29'' et moins",129.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3812283755&a=295295&m=6901,fr,,EUR129.99,16437
http://www.awin1.com/pclick.php?p=3860211453&a=295295&m=6901,"Console enfant Storio Tv   183605",3860211453,MP-001AEM24271922,//dam-static.rueducommerce.fr/medias/4ea119b092733a11955295b52775f811/p_150x150/1cbbcbb509a23f289b391f979e1b337c.jpg,"La console &eacute;ducative de salon des petits pour jouer et apprendre avec ses h&eacute;ros pr&eacute;f&eacute;r&eacute;s!La&nbsp;nouvelle console TV &eacute;ducative qui va plaire aux petits et aux parents!Storio TV est la toute nouvelle console ludo &eacute;ducative sp&eacute;cialement con&ccedil;ue par VTech pour les&nbsp;enfants!La Storio TV se branche &agrave; la t&eacute;l&eacute;vision pour une exp&eacute;rience de jeu unique et 'grand format'&nbsp;gr&acirc;ce au c&acirc;ble HDMI inclus  r&eacute;solution HD Gr&acirc;ce &agrave; sa connexion Wi Fi, la console est &eacute;volutive et vous permet de t&eacute;l&eacute;charger plus de 1000&nbsp;contenus : des jeux, des dessins anim&eacute;s, musiques, et bien plus encore depuis l'Explor@ Park.&Eacute;volutif avec l'&acirc;ge de l'enfant.Mode multi joueurs pour partager ses &eacute;motions &agrave; plusieurs!Avec Storio TV, jouez en famille ou&nbsp;entre amis tout en faisant des d&eacute;couvertes! Compatible avec les cartouches de jeux storio HD pour&nbsp;jouer et apprendre avec ses h&eacute;ros pr&eacute;f&eacute;r&eacute;s. Certains jeux sont compatibles avec le smartphone des parents: interaction pendant que l'enfant&nbsp;joue et participation active &agrave; son d&eacute;veloppement et son apprentissage.  M&eacute;moire interne de 8 Go et port micro USB inclus. Manette sans fil pour gauchers ou droitier avec dragonne. Jusqu'&agrave; 4 profils d'utilisateurs. Possibilit&eacute; de jouer &agrave; plusieurs avec des manettes suppl&eacute;mentaires  non incluses   Gr&acirc;ce &agrave; la liseuse et aux e books,votre enfant peut lire et d&eacute;velopper son vocabulaire.L&rsquo;enfant apprend les lettres, les mots et enrichit son vocabulaire gr&acirc;ce aux animations et aux&nbsp;effets sonores. Votre enfant d&eacute;veloppe sa coordination main/&oelig;il gr&acirc;ce &agrave; la manette et aux jeux d'action qui&nbsp;utilisent le capteur de mouvement de la manette.Votre enfant exerce sa m&eacute;moire avec des activit&eacute;s de compr&eacute;hension de texte, d&eacute;veloppe son&nbsp;sens de l'observation et son orthographe, apprend les formes, les couleurs, les instruments de&nbsp;musique, ou les chiffres et les lettres. Votre enfant d&eacute;veloppe alors son imagination ; les m&eacute;lodies, les effets sonores et les animations encouragent le jeu et l&rsquo;apprentissage.L'enfant stimule sa vue en regardant ses dessins anim&eacute;s et les vid&eacute;os qu'il peut charger sur laconsole, d&eacute;veloppe la logique et la m&eacute;moire gr&acirc;ce &agrave; des activit&eacute;s d&rsquo;observation et de m&eacute;morisation.Il d&eacute;couvre les math&eacute;matiques, les suites logiques et s&rsquo;entra&icirc;ne au calcul. Storio TV permet de d&eacute;couvrir les formes, les comparaisons, les suites logiques, les additions et lessoustractions simples. Contenu :  1 console Storio 1 manette de jeu sans fil 1 c&acirc;ble HDMI 1 cartouche 1 transformateur secteur 1 cordon d'attache 1 guide de d&eacute;marrage rapide&nbsp;","Jeux & Jouets / Multimédia / Jouet électronique enfant",89.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3860211453&a=295295&m=6901,fr,,EUR89.90,16437
http://www.awin1.com/pclick.php?p=3815391721&a=295295&m=6901,"Moniteur LED 28 TNT",3815391721,RSYS:9:4982905,http://s1.static69.com/hifi/images/produits/large/3f2d23c00d473f4babece24596d1a11f.jpg,"Optez pour la qualit&eacute; avec ce t&eacute;l&eacute;viseur LED sign&eacute; LG d'une taille de 70 cm.","TV et Lecteurs DVD / TV LED / TV LED 29'' et moins",169.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3815391721&a=295295&m=6901,fr,,EUR169.90,16437
http://www.awin1.com/pclick.php?p=3864322549&a=295295&m=6901,"Trancheuse électrique MMS208 16",3864322549,MP-003E0M28322924,//dam-static.rueducommerce.fr/medias/1b777f04b99c324f99765b332e67db4f/p_150x150/mms208-16-front.jpg,"Mandine va enchanter votre cuisine.&nbsp; Parce que la cuisine doit &ecirc;tre gaie, doit &ecirc;tre belle et bien s&ucirc;r bonne, une &eacute;quipe de designers et di?&eacute;rents sp&eacute;cialistes, tous amoureux de la cuisine, ont cr&eacute;&eacute; Mandine. &nbsp;","Electroménager / Préparation culinaire / Trancheuse",64.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3864322549&a=295295&m=6901,fr,,EUR64.90,16437
http://www.awin1.com/pclick.php?p=3815774419&a=295295&m=6901,"LG   TV LED 49''  123cm    49UH664V",3815774419,RSYS:9:4982910,http://s1.static69.com/hifi/images/produits/large/5b99bb195a4331bb824cf50a6b5a49d9.jpg,"Optez pour la qualit&eacute; avec ce t&eacute;l&eacute;viseur 4K UHD LED sign&eacute; LG ! D'une taille de 123 cm, il est dot&eacute; de la fonction Smart TV  webOS 3.0 .","TV et Lecteurs DVD / TV LED / TV LED de 46'' à 49''",529.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,14.99,http://www.awin1.com/pclick.php?p=3815774419&a=295295&m=6901,fr,,EUR529.99,16437
http://www.awin1.com/pclick.php?p=3799387667&a=295295&m=6901,"Mini mallette Doc & Acc   5674",3799387667,MP-00471M18184094,//dam-static.rueducommerce.fr/medias/93265f3944b73775adcadb6fa00560e5/p_150x150/7b6a0eabfa94317dae4346cf9987a967.jpg,"Une fantastique petite mallette avec Doc et ses accessoires.Et surprise&hellip;en ouvrant la mallette, d&eacute;couvre un lit et le livre des Boo Boos.Figurine Doc 8 cm et C&acirc;line 6 cm incluses.","Jeux & Jouets / Poupées & Poupons / Mini-poupées",11.99,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3799387667&a=295295&m=6901,fr,,EUR11.99,16437
http://www.awin1.com/pclick.php?p=3815774423&a=295295&m=6901,"LG   Home Cinema 4.2   LHB675",3815774423,RSYS:9:4983055,http://s1.static69.com/hifi/images/produits/large/904ed5d4b60933608a0bf623d264e33a.jpg,"Home Cinema 4.2   Puissance 1000W   lecteur Blu Ray 3D   Bluetooth   Multiroom","TV et Lecteurs DVD / Home-cinéma / Pack Enceintes Home Cinéma",299.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,19.99,http://www.awin1.com/pclick.php?p=3815774423&a=295295&m=6901,fr,,EUR299.90,16437
http://www.awin1.com/pclick.php?p=3799386069&a=295295&m=6901,"Lot de 4 culottes échancrées CHIC Taï",3799386069,MP-004C4M26843034,//dam-static.rueducommerce.fr/medias/d18b580ee4ec33a7b636108c562c3cfc/p_150x150/slw-sloggi-chic-tai-10071654-0003-1.jpg,"Lot de 4 culottes CHIC Ta&iuml;&nbsp; &eacute;chancr&eacute;es en coton majoritaire et Lycra avec large &eacute;lastique plat &agrave; la ceinture pour une tenue parfaite. Coloris blancDisponible de la taille 38 &agrave; 50Composition: 85% coton  10% polyamide  &nbsp; 5% &eacute;lasthanne.","Mode Femme / Lingerie / Culottes",28.90,"Rue du Commerce FR",6901,,0,http://images.productserve.com/noimage.gif?i=295295,EUR,,6.99,http://www.awin1.com/pclick.php?p=3799386069&a=295295&m=6901,fr,,EUR28.90,16437
